symbol,company,price,market_cap,pe_ratio,sector,industry,headquarters,date_added,founded
MMM,3M,153.76,80200000000,29.6,Industrials,Industrial Conglomerates,"Saint Paul,  Minnesota",1957-03-04,1902
AOS,A. O. Smith,57.2,7880000000,15.3,Industrials,Building Products,"Milwaukee,  Wisconsin",2017-07-26,1916
ABT,Abbott Laboratories,91.07,158630000000,25.5,Health Care,Health Care Equipment,"North Chicago,  Illinois",1957-03-04,1888
ABBV,AbbVie,227.23,401470000000,110.8,Health Care,Biotechnology,"North Chicago,  Illinois",2012-12-31,2013
ACN,Accenture,178.25,109700000000,14.6,Information Technology,IT Consulting & Other Services,"Dublin,  Ireland",2011-07-06,1989
ADBE,Adobe Inc.,251.44,101630000000,14.7,Information Technology,Application Software,"San Jose,  California",1997-05-05,1982
AMD,Advanced Micro Devices,466.38,760480000000,156.5,Information Technology,Semiconductors,"Santa Clara,  California",2017-03-20,1969
AES,AES Corporation,14.67,10460000000,7.6,Utilities,Independent Power Producers & Energy Traders,"Arlington,  Virginia",1998-10-02,1981
AFL,Aflac,118.24,60180000000,13.5,Financials,Life & Health Insurance,"Columbus,  Georgia",1999-05-28,1955
A,Agilent Technologies,135.44,38250000000,27.2,Health Care,Life Sciences Tools & Services,"Santa Clara,  California",2000-06-05,1999
APD,Air Products,282.35,62870000000,29.8,Materials,Industrial Gases,"Upper Macungie Township,  Pennsylvania",1985-04-30,1940
ABNB,Airbnb,133.54,79260000000,33.0,Consumer Discretionary,"Hotels,  Resorts & Cruise Lines","San Francisco,  California",2023-09-18,2008
AKAM,Akamai Technologies,149.32,21710000000,50.4,Information Technology,Internet Services & Infrastructure,"Cambridge,  Massachusetts",2007-07-12,1998
ALB,Albemarle Corporation,155.44,18330000000,,Materials,Specialty Chemicals,"Charlotte,  North Carolina",2016-07-01,1994
ARE,Alexandria Real Estate Equities,51.28,8940000000,,Real Estate,Office REITs,"Pasadena,  California",2017-03-20,1994
ALGN,Align Technology,167.74,12010000000,28.2,Health Care,Health Care Supplies,"Tempe,  Arizona",2017-06-19,1997
ALLE,Allegion,130.16,11190000000,17.8,Industrials,Building Products,"Dublin,  Ireland",2013-12-02,1908
LNT,Alliant Energy,72.87,18820000000,22.9,Utilities,Electric Utilities,"Madison,  Wisconsin",2016-07-01,1917
ALL,Allstate,221.01,56890000000,4.9,Financials,Property & Casualty Insurance,"Northbrook,  Illinois",1995-07-13,1931
GOOGL,Alphabet Inc. (Class A),368.53,4490000000000,28.1,Communication Services,Interactive Media & Services,"Mountain View,  California",2006-04-03,1998
GOOG,Alphabet Inc. (Class C),365.76,4460000000000,27.9,Communication Services,Interactive Media & Services,"Mountain View,  California",2014-04-03,1998
MO,Altria,72.19,120550000000,15.1,Consumer Staples,Tobacco,"Richmond,  Virginia",1957-03-04,1985
AMZN,Amazon,246.03,2650000000000,31.7,Consumer Discretionary,Broadline Retail,"Seattle,  Washington",2005-11-18,1994
AMCR,Amcor,38.13,17630000000,30.5,Materials,"Paper & Plastic Packaging Products & Materials, Warmley"," Bristol,  United Kingdom",2019-06-07,2019
AEE,Ameren,109.27,30240000000,19.7,Utilities,Multi-Utilities,"St. Louis,  Missouri",1991-09-19,1902
AEP,American Electric Power,129.14,70270000000,19.1,Utilities,Electric Utilities,"Columbus,  Ohio",1957-03-04,1906
AXP,American Express,310.66,211970000000,19.4,Financials,Consumer Finance,"New York City,  New York",1976-06-30,1850
AIG,American International Group,75.49,40030000000,13.3,Financials,Multi-line Insurance,"New York City,  New York",1980-03-31,1919
AMT,American Tower,194.12,90440000000,31.4,Real Estate,Telecom Tower REITs,"Boston,  Massachusetts",2007-11-19,1995
AWK,American Water Works,124.47,24310000000,22.1,Utilities,Water Utilities,"Camden,  New Jersey",2016-03-04,1886
AMP,Ameriprise Financial,454.66,40870000000,11.3,Financials,Asset Management & Custody Banks,"Minneapolis,  Minnesota",2005-10-03,1894
AME,Ametek,226.55,51930000000,34.2,Industrials,Electrical Components & Equipment,"Berwyn,  Pennsylvania",2013-09-23,1930
AMGN,Amgen,349.58,188670000000,24.3,Health Care,Biotechnology,"Thousand Oaks,  California",1992-01-02,1980
APH,Amphenol,138.81,170770000000,39.9,Information Technology,Electronic Components,"Wallingford,  Connecticut",2008-09-30,1932
ADI,Analog Devices,401.39,195510000000,59.9,Information Technology,Semiconductors,"Wilmington,  Massachusetts",1999-10-12,1965
AON,Aon plc,328.53,70170000000,18.0,Financials,Insurance Brokers,"London,  United Kingdom",1996-04-23,1982
APA,APA Corporation,36.57,12930000000,8.5,Energy,Oil & Gas Exploration & Production,"Houston,  Texas",1997-07-28,1954
APO,Apollo Global Management,128.03,73810000000,80.5,Financials,Asset Management & Custody Banks,"New York City,  New York",2024-12-23,1990
AAPL,Apple Inc.,307.34,4510000000000,37.2,Information Technology,"Technology Hardware,  Storage & Peripherals","Cupertino,  California",1982-11-30,1977
AMAT,Applied Materials,453.01,359670000000,42.5,Information Technology,Semiconductor Materials & Equipment,"Santa Clara,  California",1995-03-16,1967
APP,AppLovin,557.2,187190000000,48.5,Information Technology,Application Software,"Palo Alto,  California",2025-09-22,2012
APTV,Aptiv,68.6,14520000000,40.8,Consumer Discretionary,Automotive Parts & Equipment,"Schaffhausen,  Switzerland",2012-12-24,1994
ACGL,Arch Capital Group,91.19,31860000000,7.0,Financials,Property & Casualty Insurance,"Hamilton,  Bermuda",2022-11-01,1995
ADM,Archer Daniels Midland,80.92,39000000000,36.1,Consumer Staples,Agricultural Products & Services,"Chicago,  Illinois",1957-03-04,1902
ARES,Ares Management,125.65,28340000000,57.9,Financials,Asset Management & Custody Banks,"Los Angeles,  California",2025-12-11,1977
ANET,Arista Networks,154.27,194250000000,52.8,Information Technology,Communications Equipment,"Santa Clara,  California",2018-08-28,2004
AJG,Arthur J. Gallagher & Co.,216.14,55540000000,35.0,Financials,Insurance Brokers,"Rolling Meadows,  Illinois",2016-05-31,1927
CAH,Cardinal Health,205.71,48180000000,31.5,Health Care,Health Care Distributors,"Dublin,  Ohio",1997-05-27,1971
